Habitat	Plant	Location	isolate	Tree_affiliation	Kingdom	Phylum	Class	Order	Family	Genus
Seed	Triticum aestivum	greenhouse	gBlApaS033	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlApaS035	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlApaS037	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlApaS039	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Triticum aestivum	culture chamber	gBlBarC051	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Triticum aestivum	culture chamber	gBlBarC055	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlBarS061	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlBarS066	Filobasidium	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Seed	Triticum aestivum	greenhouse	gBlIllS108	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seed	Triticum aestivum	culture chamber	gBlJulC042	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seed	Triticum aestivum	culture chamber	gBlJulC043	Holtermanniella	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
Seed	Triticum aestivum	culture chamber	gBlRenC021	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seed	Triticum aestivum	culture chamber	gBlSymC004	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seed	Triticum aestivum	culture chamber	gBlSymC005	Vishniacozyma	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
Seedling	Triticum aestivum	greenhouse	pBlApaS044	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlBarS052	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlJulS001	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlJulS005	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlRecS082	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlRenS069	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlRubS097	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	culture chamber	pBlSymC026	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
Seedling	Triticum aestivum	greenhouse	pBlSymS016	Sporobolomyces	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces
